model,precision,batch_size,seq_len,latency(ms),memory(MB)
opt-13b,int8-fp16-dynamic-a-token,4,256,124.14,13206.21
opt-13b,int8-fp16-dynamic-a-tensor,4,256,120.79,13206.21
opt-13b,llm_int8_0,4,256,130.84,13510.70
opt-30b,int8-fp16-dynamic-a-token,4,256,246.69,29994.39
opt-30b,int8-fp16-dynamic-a-tensor,4,256,240.20,29994.39
opt-30b,llm_int8_0,4,256,257.49,30568.05
opt-13b,int8-fp16-dynamic-a-token,4,512,243.27,13917.72
opt-13b,int8-fp16-dynamic-a-tensor,4,512,235.14,13917.72
opt-13b,llm_int8_0,4,512,264.24,14549.10
opt-30b,int8-fp16-dynamic-a-token,4,512,490.74,31101.90
opt-30b,int8-fp16-dynamic-a-tensor,4,512,478.30,31101.90
opt-30b,llm_int8_0,4,512,511.47,32242.41
