precision,batch_size,seq_len,hidden_size,ms
int8,1,256,12288,0.214744677734375
int8,4,256,12288,0.215651123046875
int8,8,256,12288,0.214803662109375
int8,16,256,12288,0.230845849609375
int8,1,512,12288,0.2150698974609375
int8,4,512,12288,0.2219683837890625
int8,8,512,12288,0.2694895263671875
int8,16,512,12288,0.547513134765625
int8,1,1024,12288,0.2187122802734375
int8,4,1024,12288,0.524024853515625
int8,8,1024,12288,1.05944736328125
int8,16,1024,12288,1.961195703125
fp16,1,256,12288,0.0359225341796875
fp16,4,256,12288,0.1079752685546875
fp16,8,256,12288,0.17851556396484375
fp16,16,256,12288,0.36946103515625
fp16,1,512,12288,0.1077116943359375
fp16,4,512,12288,0.2806914794921875
fp16,8,512,12288,0.543647314453125
fp16,16,512,12288,1.09997919921875
fp16,1,1024,12288,0.263591943359375
fp16,4,1024,12288,1.04633466796875
fp16,8,1024,12288,2.1323498046875
fp16,16,1024,12288,3.9484953125
