precision,seq_len,C1,C2,fn,name,ms
int8,128,12288,49152,linear_relu_a8_w8_b8_o8,fc1,1.4164075927734374
int8,128,49152,12288,linear_a8_w8_b32_o32,fc2,1.9294197998046876
int8,128,12288,12288,linear_a8_w8_b8_o8,qkv,0.477412353515625
int8,128,12288,12288,linear_a8_w8_b32_o32,out,0.49916824340820315
int8,256,12288,49152,linear_relu_a8_w8_b8_o8,fc1,1.5226112060546875
int8,256,49152,12288,linear_a8_w8_b32_o32,fc2,2.0330777587890627
int8,256,12288,12288,linear_a8_w8_b8_o8,qkv,0.515905517578125
int8,256,12288,12288,linear_a8_w8_b32_o32,out,0.5439390869140625
int8,512,12288,49152,linear_relu_a8_w8_b8_o8,fc1,2.92668115234375
int8,512,49152,12288,linear_a8_w8_b32_o32,fc2,3.2466181640625
int8,512,12288,12288,linear_a8_w8_b8_o8,qkv,0.817343994140625
int8,512,12288,12288,linear_a8_w8_b32_o32,out,0.8766827392578125
int8,1024,12288,49152,linear_relu_a8_w8_b8_o8,fc1,5.5888779296875
int8,1024,49152,12288,linear_a8_w8_b32_o32,fc2,5.73714013671875
int8,1024,12288,12288,linear_a8_w8_b8_o8,qkv,1.4446514892578124
int8,1024,12288,12288,linear_a8_w8_b32_o32,out,1.560068603515625
fp16,128,12288,49152,linear_relu_a8_w8_b8_o8,fc1,2.115800537109375
fp16,128,49152,12288,linear_a8_w8_b32_o32,fc2,3.030579833984375
fp16,128,12288,12288,linear_a8_w8_b8_o8,qkv,0.5132784423828125
fp16,128,12288,12288,linear_a8_w8_b32_o32,out,0.5133413696289062
fp16,256,12288,49152,linear_relu_a8_w8_b8_o8,fc1,3.06569921875
fp16,256,49152,12288,linear_a8_w8_b32_o32,fc2,3.13430078125
fp16,256,12288,12288,linear_a8_w8_b8_o8,qkv,0.9189166259765625
fp16,256,12288,12288,linear_a8_w8_b32_o32,out,0.914845703125
fp16,512,12288,49152,linear_relu_a8_w8_b8_o8,fc1,6.2601455078125
fp16,512,49152,12288,linear_a8_w8_b32_o32,fc2,5.93686279296875
fp16,512,12288,12288,linear_a8_w8_b8_o8,qkv,1.48414306640625
fp16,512,12288,12288,linear_a8_w8_b32_o32,out,1.48253173828125
fp16,1024,12288,49152,linear_relu_a8_w8_b8_o8,fc1,12.39132421875
fp16,1024,49152,12288,linear_a8_w8_b32_o32,fc2,23.98221484375
fp16,1024,12288,12288,linear_a8_w8_b8_o8,qkv,3.028907958984375
fp16,1024,12288,12288,linear_a8_w8_b32_o32,out,3.026241943359375
