model,precision,batch_size,seq_len,latency(ms),memory(MB)
opt-6.7b,llm_int8,4,256,208.76,7271.58
opt-6.7b,llm_int8_0,4,256,134.46,7221.12
opt-6.7b,fp16,4,256,158.53,13316.54
opt-6.7b,int8-fp16,4,256,114.85,6916.35
opt-13b,llm_int8,4,256,314.01,13587.04
opt-13b,llm_int8_0,4,256,219.05,13510.70
opt-13b,fp16,4,256,285.38,25446.56
opt-13b,int8-fp16,4,256,184.72,13206.21
opt-6.7b,llm_int8,4,512,362.86,7972.68
opt-6.7b,llm_int8_0,4,512,273.92,7922.55
opt-6.7b,fp16,4,512,324.67,14062.05
opt-6.7b,int8-fp16,4,512,256.73,7421.86
opt-13b,llm_int8,4,512,577.45,14621.79
opt-13b,llm_int8_0,4,512,460.34,14549.10
opt-13b,fp16,4,512,584.12,26538.07
opt-13b,int8-fp16,4,512,417.04,13917.72
