model,precision,batch_size,seq_len,latency(ms),memory(MB)
opt-125m,fp16,1,512,7.71,314.24
opt-125m,int8-fp16,1,512,9.18,217.97
opt-1.3b,fp16,1,512,28.80,2680.11
opt-1.3b,int8-fp16,1,512,36.16,1509.97
opt-2.7b,fp16,1,512,40.71,5297.05
opt-2.7b,int8-fp16,1,512,52.27,2909.06
opt-6.7b,fp16,1,512,89.43,13040.54
opt-6.7b,int8-fp16,1,512,70.62,6796.16
opt-13b,fp16,1,512,147.07,25021.56
opt-13b,int8-fp16,1,512,111.30,13015.97
opt-125m,fp16,2,512,8.15,381.68
opt-125m,int8-fp16,2,512,12.91,275.91
opt-1.3b,fp16,2,512,52.46,2850.62
opt-1.3b,int8-fp16,2,512,64.26,1662.48
opt-2.7b,fp16,2,512,89.00,5532.06
opt-2.7b,int8-fp16,2,512,92.88,3094.82
opt-6.7b,fp16,2,512,171.08,13381.04
opt-6.7b,int8-fp16,2,512,139.94,7036.66
opt-13b,fp16,2,512,304.93,25527.06
opt-13b,int8-fp16,2,512,222.87,13356.48
opt-125m,fp16,4,512,15.80,516.87
opt-125m,int8-fp16,4,512,23.27,393.61
opt-1.3b,fp16,4,512,93.32,3191.62
opt-1.3b,int8-fp16,4,512,127.26,1967.48
opt-2.7b,fp16,4,512,163.22,6006.07
opt-2.7b,int8-fp16,4,512,184.23,3467.83
opt-6.7b,fp16,4,512,332.67,14062.05
opt-6.7b,int8-fp16,4,512,275.92,7517.67
opt-13b,fp16,4,512,596.39,26538.07
opt-13b,int8-fp16,4,512,442.83,14037.48
opt-125m,fp16,8,512,27.70,788.26
opt-125m,int8-fp16,8,512,46.08,629.00
opt-1.3b,fp16,8,512,188.10,3873.64
opt-1.3b,int8-fp16,8,512,251.35,2577.50
opt-2.7b,fp16,8,512,315.82,6954.08
opt-2.7b,int8-fp16,8,512,366.72,4213.85
opt-6.7b,fp16,8,512,647.32,15424.06
opt-6.7b,int8-fp16,8,512,536.09,8479.69
opt-13b,fp16,8,512,1185.03,28560.09
opt-13b,int8-fp16,8,512,901.55,15399.50
opt-125m,fp16,16,512,55.87,1331.54
opt-125m,int8-fp16,16,512,89.92,1100.28
opt-1.3b,fp16,16,512,366.68,5237.67
opt-1.3b,int8-fp16,16,512,506.04,3797.53
opt-2.7b,fp16,16,512,639.56,8850.11
opt-2.7b,int8-fp16,16,512,763.85,5705.88
opt-6.7b,fp16,16,512,1240.91,18148.09
opt-6.7b,int8-fp16,16,512,1174.21,10403.72
opt-13b,fp16,16,512,2279.22,32604.12
opt-13b,int8-fp16,16,512,1996.06,18123.53
opt-125m,fp16,32,512,103.76,2417.61
opt-125m,int8-fp16,32,512,181.44,2042.34
opt-1.3b,fp16,32,512,713.27,7965.73
opt-1.3b,int8-fp16,32,512,1068.74,6237.59
opt-2.7b,fp16,32,512,1249.87,12642.18
opt-2.7b,int8-fp16,32,512,1645.26,8689.94
opt-6.7b,fp16,32,512,2434.01,23596.16
opt-6.7b,int8-fp16,32,512,2576.09,14251.78
opt-13b,fp16,32,512,4511.51,40692.18
opt-13b,int8-fp16,32,512,4479.80,23571.59
opt-125m,fp16,1,256,7.33,279.41
opt-125m,int8-fp16,1,256,9.17,187.64
opt-1.3b,fp16,1,256,13.95,2583.16
opt-1.3b,int8-fp16,1,256,17.70,1409.60
opt-2.7b,fp16,1,256,21.65,5180.10
opt-2.7b,int8-fp16,1,256,26.72,2790.94
opt-6.7b,fp16,1,256,60.24,12854.58
opt-6.7b,int8-fp16,1,256,38.28,6651.78
opt-13b,fp16,1,256,77.04,24748.68
opt-13b,int8-fp16,1,256,59.05,12816.33
opt-125m,fp16,2,256,7.45,314.24
opt-125m,int8-fp16,2,256,9.28,217.97
opt-1.3b,fp16,2,256,25.29,2657.61
opt-1.3b,int8-fp16,2,256,25.69,1461.72
opt-2.7b,fp16,2,256,35.85,5275.55
opt-2.7b,int8-fp16,2,256,38.22,2862.81
opt-6.7b,fp16,2,256,84.57,13010.04
opt-6.7b,int8-fp16,2,256,56.86,6747.91
opt-13b,fp16,2,256,139.98,24981.31
opt-13b,int8-fp16,2,256,90.54,12955.72
opt-125m,fp16,4,256,7.97,381.68
opt-125m,int8-fp16,4,256,9.48,275.91
opt-1.3b,fp16,4,256,45.22,2803.80
opt-1.3b,int8-fp16,4,256,43.31,1565.98
opt-2.7b,fp16,4,256,79.27,5482.25
opt-2.7b,int8-fp16,4,256,65.01,2998.32
opt-6.7b,fp16,4,256,161.40,13318.23
opt-6.7b,int8-fp16,4,256,112.50,6940.16
opt-13b,fp16,4,256,290.25,25446.56
opt-13b,int8-fp16,4,256,180.58,13235.98
opt-125m,fp16,8,256,11.68,516.87
opt-125m,int8-fp16,8,256,15.19,394.11
opt-1.3b,fp16,8,256,79.38,3098.00
opt-1.3b,int8-fp16,8,256,85.68,1774.48
opt-2.7b,fp16,8,256,143.70,5904.44
opt-2.7b,int8-fp16,8,256,128.81,3274.83
opt-6.7b,fp16,8,256,313.88,13936.42
opt-6.7b,int8-fp16,8,256,221.63,7324.67
opt-13b,fp16,8,256,567.78,26377.07
opt-13b,int8-fp16,8,256,359.48,13796.48
opt-125m,fp16,16,256,22.18,788.26
opt-125m,int8-fp16,16,256,30.25,629.00
opt-1.3b,fp16,16,256,160.32,3686.39
opt-1.3b,int8-fp16,16,256,168.12,2191.50
opt-2.7b,fp16,16,256,277.22,6750.83
opt-2.7b,int8-fp16,16,256,255.93,3827.85
opt-6.7b,fp16,16,256,608.69,15172.81
opt-6.7b,int8-fp16,16,256,424.57,8093.69
opt-13b,fp16,16,256,1126.87,28238.09
opt-13b,int8-fp16,16,256,737.02,14917.50
opt-125m,fp16,32,256,44.41,1331.54
opt-125m,int8-fp16,32,256,58.11,1100.28
opt-1.3b,fp16,32,256,310.58,4863.67
opt-1.3b,int8-fp16,32,256,340.69,3025.53
opt-2.7b,fp16,32,256,563.47,8444.11
opt-2.7b,int8-fp16,32,256,541.67,4933.88
opt-6.7b,fp16,32,256,1168.74,17646.09
opt-6.7b,int8-fp16,32,256,944.76,9631.72
opt-13b,fp16,32,256,2166.94,31960.12
opt-13b,int8-fp16,32,256,1672.09,17159.53
opt-125m,fp16,1,1024,11.12,386.99
opt-125m,int8-fp16,1,1024,21.15,329.72
opt-1.3b,fp16,1,1024,68.14,2979.62
opt-1.3b,int8-fp16,1,1024,107.62,1855.48
opt-2.7b,fp16,1,1024,109.84,5661.06
opt-2.7b,int8-fp16,1,1024,150.78,3288.82
opt-6.7b,fp16,1,1024,191.47,13510.04
opt-6.7b,int8-fp16,1,1024,197.51,7229.66
opt-13b,fp16,1,1024,336.31,25688.06
