model,precision,batch_size,seq_len,latency(ms),memory(MB)
opt-125m,int8-fp16,1,512,8.78,229.47
opt-125m,fp16,1,512,7.56,314.24
opt-125m,int8-fp32,1,512,10.03,353.48
opt-1.3b,int8-fp16,1,512,38.65,1591.97
opt-1.3b,fp16,1,512,28.79,2680.11
opt-1.3b,int8-fp32,1,512,42.70,1805.24
opt-2.7b,int8-fp16,1,512,55.24,3022.82
opt-2.7b,fp16,1,512,40.75,5297.05
opt-2.7b,int8-fp32,1,512,61.48,3288.90
opt-6.7b,int8-fp16,1,512,72.63,6960.16
opt-6.7b,fp16,1,512,90.21,13040.54
opt-6.7b,int8-fp32,1,512,85.63,7386.94
opt-13b,int8-fp16,1,512,114.04,13260.97
opt-13b,fp16,1,512,147.10,25021.56
opt-13b,int8-fp32,1,512,131.90,13794.14
opt-30b,int8-fp16,1,512,,
opt-30b,fp16,1,512,,
opt-30b,int8-fp32,1,512,,
opt-125m,int8-fp16,2,512,13.85,299.72
opt-125m,fp16,2,512,8.21,381.68
opt-125m,int8-fp32,2,512,17.01,471.17
opt-1.3b,int8-fp16,2,512,68.01,1826.48
opt-1.3b,fp16,2,512,52.47,2850.62
opt-1.3b,int8-fp32,2,512,80.98,2048.24
opt-2.7b,int8-fp16,2,512,97.18,3323.82
opt-2.7b,fp16,2,512,89.13,5532.06
opt-2.7b,int8-fp32,2,512,115.26,3600.41
opt-6.7b,int8-fp16,2,512,144.52,7364.66
opt-6.7b,fp16,2,512,171.31,13381.04
opt-6.7b,int8-fp32,2,512,174.87,7807.95
opt-13b,int8-fp16,2,512,229.65,13846.48
opt-13b,fp16,2,512,305.67,25527.06
opt-13b,int8-fp32,2,512,272.43,14401.14
opt-30b,int8-fp16,2,512,456.05,31002.61
