model,precision,batch_size,seq_len,latency(ms),memory(MB)
opt-125m,fp16,4,128,9.67,273.36
opt-125m,int8-fp16,4,128,14.00,177.17
opt-125m,llm_int8,4,128,49.12,193.93
opt-6.7b,fp16,4,128,78.64,13004.16
opt-6.7b,int8-fp16,4,128,58.34,6721.97
opt-6.7b,llm_int8,4,128,158.74,6923.47
opt-13b,fp16,4,128,134.60,24976.18
opt-13b,int8-fp16,4,128,91.25,12923.33
opt-13b,llm_int8,4,128,207.97,13073.27
opt-125m,fp16,4,512,13.07,430.50
opt-125m,int8-fp16,4,512,25.04,318.30
opt-125m,llm_int8,4,512,53.13,345.17
opt-6.7b,fp16,4,512,323.00,14062.05
opt-6.7b,int8-fp16,4,512,255.78,7421.86
opt-6.7b,llm_int8,4,512,364.71,7972.73
opt-13b,fp16,4,512,581.94,26538.07
opt-13b,int8-fp16,4,512,416.33,13917.72
opt-13b,llm_int8,4,512,580.80,14620.26
opt-125m,fp16,4,256,9.86,313.99
opt-125m,int8-fp16,4,256,15.81,210.79
opt-125m,llm_int8,4,256,48.48,236.79
opt-6.7b,fp16,4,256,157.00,13316.54
opt-6.7b,int8-fp16,4,256,115.06,6916.35
opt-6.7b,llm_int8,4,256,212.04,7272.38
opt-13b,fp16,4,256,284.11,25446.56
opt-13b,int8-fp16,4,256,183.88,13206.21
opt-13b,llm_int8,4,256,312.35,13587.70
opt-125m,fp16,4,1024,37.23,811.51
opt-125m,int8-fp16,4,1024,63.89,694.32
opt-125m,llm_int8,4,1024,76.24,726.03
opt-6.7b,fp16,4,1024,708.26,15940.06
opt-6.7b,int8-fp16,4,1024,659.76,8867.88
opt-6.7b,llm_int8,4,1024,790.99,9833.66
opt-13b,fp16,4,1024,1276.57,29204.09
opt-13b,int8-fp16,4,1024,1100.43,15883.73
opt-13b,llm_int8,4,1024,1298.71,17264.78
