model,precision,batch_size,seq_len,latency(ms),memory(MB)
opt-6.7b,fp16,4,128,43.30,13004.16
opt-6.7b,int8-fp16,4,128,45.11,6721.97
opt-6.7b,llm_int8,4,128,150.73,6922.93
opt-13b,fp16,4,128,84.42,24976.18
opt-13b,int8-fp16,4,128,62.72,12923.33
opt-13b,llm_int8,4,128,189.87,13073.12
opt-30b,fp16,4,128,189.84,57928.71
opt-30b,int8-fp16,4,128,135.80,29542.51
opt-30b,llm_int8,4,128,276.46,29847.99
opt-6.7b,fp16,4,512,168.12,14062.05
opt-6.7b,int8-fp16,4,512,138.18,7421.86
opt-6.7b,llm_int8,4,512,247.45,7972.27
opt-13b,fp16,4,512,296.31,26538.07
opt-13b,int8-fp16,4,512,223.06,13917.72
opt-13b,llm_int8,4,512,371.48,14622.33
opt-30b,fp16,4,512,659.93,60450.60
opt-30b,int8-fp16,4,512,458.44,31101.90
opt-30b,llm_int8,4,512,654.85,32363.38
opt-6.7b,fp16,4,256,82.30,13316.54
opt-6.7b,int8-fp16,4,256,73.64,6916.35
opt-6.7b,llm_int8,4,256,176.93,7272.16
opt-13b,fp16,4,256,152.57,25446.56
opt-13b,int8-fp16,4,256,112.11,13206.21
opt-13b,llm_int8,4,256,237.11,13587.25
opt-30b,fp16,4,256,342.99,58699.09
opt-30b,int8-fp16,4,256,227.56,29994.39
opt-30b,llm_int8,4,256,387.92,30687.43
opt-6.7b,fp16,4,1024,372.56,15940.06
opt-6.7b,int8-fp16,4,1024,328.31,8867.88
opt-6.7b,llm_int8,4,1024,448.81,9834.07
opt-13b,fp16,4,1024,642.70,29204.09
opt-13b,int8-fp16,4,1024,545.30,15883.73
opt-13b,llm_int8,4,1024,708.00,17264.00
opt-30b,fp16,4,1024,1402.63,64628.62
opt-30b,int8-fp16,4,1024,1064.37,34075.91
opt-30b,llm_int8,4,1024,1287.79,36511.79
